Bid Week,Start Date,End Date
February 2007 Delivery,1/1/2007,1/18/2007
March 2007 Delivery,2/1/2007,2/15/2007
April 2007 Delivery,3/1/2007,3/19/2007
April 2007 Delivery,3/1/2007,3/19/2007
May 2007 Delivery,4/3/2007,4/17/2007
June 2007 Delivery,5/1/2007,5/17/2007
July 2007 Delivery,6/1/2007,6/18/2007
August 2007 Delivery,7/3/2007,7/18/2007
September 2007 Delivery,8/1/2007,8/20/2007
October 2007 Delivery,9/1/2007,9/18/2007
November 2007 Delivery,10/1/2007,10/18/2007
December 2007 Delivery,11/1/2007,11/19/2007
January 2008 Delivery,12/1/2007,12/16/2007
February 2008 Delivery,1/1/2008,1/20/2008
March 2008 Delivery,2/1/2008,2/18/2008
April 2008 Delivery,3/1/2008,3/18/2008
May 2008 Delivery,4/1/2008,4/17/2008
June 2008 Delivery,5/1/2008,5/19/2008
July 2008 Delivery,6/1/2008,6/18/2008
August 2008 Delivery,7/1/2008,7/20/2008
September 2008 Delivery,8/1/2008,8/19/2008
October 2008 Delivery,9/1/2008,9/18/2008
November 2008 Delivery,10/1/2008,10/19/2008
December 2008 Delivery,11/1/2008,11/18/2008
January 2009 Delivery,12/1/2008,12/17/2008
January 2009 Delivery,12/1/2008,12/17/2008
February 2009 Delivery,1/1/2009,1/19/2009
March 2009 Delivery,2/1/2009,2/16/2009
April 2009 Delivery,3/1/2009,3/18/2009
May 2009 Delivery,4/1/2009,4/19/2009
June 2009 Delivery,5/1/2009,5/18/2009
July 2009 Delivery,6/1/2009,6/17/2009
August 2009 Delivery,7/1/2009,7/20/2009
September 2009 Delivery,8/1/2009,8/19/2009
October 2009 Delivery,9/1/2009,9/17/2009
November 2009 Delivery,10/1/2009,10/19/2009
December 2009 Delivery,11/1/2009,11/18/2009
January 2010 Delivery,12/1/2009,12/17/2009
February 2010 Delivery,1/1/2010,1/19/2010
March 2010 Delivery,2/1/2010,2/16/2010
April 2010 Delivery,3/1/2010,3/17/2010
May 2010 Delivery,4/1/2010,4/20/2010
June 2010 Delivery,5/1/2010,5/18/2010
July 2010 Delivery,6/1/2010,6/17/2010
August 2010 Delivery,7/1/2010,7/20/2010
September 2010 Delivery,8/1/2010,8/18/2010
October 2010 Delivery,9/1/2010,9/19/2010
November 2010 Delivery,10/1/2010,10/19/2010
December 2010 Delivery,11/1/2010,11/18/2010
January 2011 Delivery,12/1/2010,12/16/2010
February 2011 Delivery,1/1/2011,1/19/2011
February 2011 Delivery,1/1/2011,1/19/2011
March 2011 Delivery,2/1/2011,2/16/2011
April 2011 Delivery,3/1/2011,3/17/2011
May 2011 Delivery,4/1/2011,4/18/2011
June 2011 Delivery,5/1/2011,5/18/2011
July 2011 Delivery,6/1/2011,6/17/2011
August 2011 Delivery,7/1/2011,7/18/2011
September 2011 Delivery,8/1/2011,8/18/2011
October 2011 Delivery,9/1/2011,9/19/2011
November 2011 Delivery,10/1/2011,10/19/2011
December 2011 Delivery,11/1/2011,11/18/2011
January 2012 Delivery,12/1/2011,12/15/2011
February 2012 Delivery,1/1/2012,1/18/2012
March 2012 Delivery,2/1/2012,2/16/2012
April 2012 Delivery,3/1/2012,3/19/2012
May 2012 Delivery,4/1/2012,4/18/2012
June 2012 Delivery,5/1/2012,5/17/2012
July 2012 Delivery,6/1/2012,6/18/2012
August 2012 Delivery,7/1/2012,7/18/2012
September 2012 Delivery,8/1/2012,8/20/2012
October 2012 Delivery,9/1/2012,9/18/2012
November 2012 Delivery,10/1/2012,10/18/2012
December 2012 Delivery,11/1/2012,11/19/2012
January 2013 Delivery,12/1/2012,12/14/2012
February 2013 Delivery,1/2/2013,1/18/2013
March 2013 Delivery,2/1/2013,2/15/2013
April 2013 Delivery,3/1/2013,3/15/2013
May 2013 Delivery,4/1/2013,4/17/2013
June 2013 Delivery,5/1/2013,5/16/2013
July 2013 Delivery,6/1/2013,6/17/2013
August 2013 Delivery,7/1/2013,7/18/2013
September 2013 Delivery,8/1/2013,8/19/2013
October 2013 Delivery,9/1/2013,9/17/2013
November 2013 Delivery,10/1/2013,10/18/2013
December 2013 Delivery,11/1/2013,11/18/2013
January 2014 Delivery,12/1/2013,12/16/2013
February 2014 Delivery,1/1/2014,1/17/2014
March 2014 Delivery,2/1/2014,2/14/2014
April 2014 Delivery ,3/1/2014,3/18/2014
May 2014 Delivery ,4/1/2014,4/16/2014
June 2014 Delivery ,5/1/2014,5/16/2014
July 2014 Delivery ,6/1/2014,6/17/2014
August 2014 Delivery ,7/1/2014,7/17/2014
September 2014 Delivery ,8/1/2014,8/18/2014
October 2014 Delivery ,9/1/2014,9/17/2014
November 2014 Delivery ,10/1/2014,10/17/2014
December 2014 Delivery ,11/1/2014,11/18/2014
January 2015 Delivery ,12/1/2014,12/15/2014
February 2015 Delivery,1/2/2015,1/19/2015
February 2015 Delivery,1/2/2015,1/19/2015
February 2015 Delivery ,1/2/2015,1/19/2015
March 2015 Delivery,2/2/2015,2/17/2015
April 2015 Delivery ,3/2/2015,3/17/2015
May 2015 Delivery ,4/1/2015,4/16/2015
June 2015 Delivery,5/1/2015,5/19/2015
July 2015 Delivery,6/1/2015,6/16/2015
August 2015 Delivery,7/2/2015,7/17/2015
September 2015 Delivery,8/4/2015,8/18/2015
October 2015 Delivery ,9/1/2015,9/17/2015
November 2015 Delivery,10/1/2015,10/19/2015
December 2015 Delivery ,11/2/2015,11/17/2015
January 2016 Delivery,12/1/2015,12/15/2015
February 2016 Delivery,1/1/2016,1/18/2016
March 2016 Delivery,2/1/2016,2/16/2016
April 2016 Delivery,3/1/2016,3/16/2016
May 2016 Delivery,4/1/2016,4/15/2016
June 2016 Delivery,5/1/2016,5/16/2016
July 2016 Delivery,6/1/2016,6/16/2016
August 2016 Delivery,7/1/2016,7/18/2016
September 2016 Delivery,8/1/2016,8/17/2016
October 2016 Delivery,9/1/2016,9/16/2016
November 2016 Delivery,10/1/2016,10/18/2016
December 2016 Delivery,11/1/2016,11/16/2016
January 2017 Delivery,12/1/2016,12/14/2016
February 2017 Delivery,1/3/2017,1/17/2017
March 2017 Delivery,2/1/2017,2/15/2017
April 2017 Delivery,3/1/2017,3/16/2017
May 2017 Delivery,4/3/2017,4/17/2017
June 2017 Delivery,5/1/2017,5/16/2017
July 2017 Delivery,6/1/2017,6/16/2017
August 2017 Delivery,7/3/2017,7/17/2017
September 2017 Delivery,8/1/2017,8/17/2017
October 2017 Delivery,9/1/2017,9/15/2017
November 2017 Delivery,10/2/2017,10/17/2017
December 2017 Delivery,11/1/2017,11/16/2017
January 2018 Delivery,12/1/2017,12/14/2017
February 2018 Delivery,1/2/2018,1/16/2018
March 2018 Delivery,2/1/2018,2/13/2018
April 2018 Delivery,3/1/2018,3/15/2018
May 2018 Delivery,4/2/2018,4/13/2018
June 2018 Delivery,5/1/2018,5/16/2018
July 2018 Delivery,6/1/2018,6/14/2018
August 2018 Delivery,7/3/2018,7/16/2018
September 2018 Delivery,8/1/2018,8/16/2018
October 2018 Delivery,9/4/2018,9/14/2018
November 2018 Delivery,10/1/2018,10/16/2018
December 2018 Delivery,11/1/2018,11/15/2018
January 2019 Delivery,12/3/2018,12/13/2018
February 2019 Delivery,1/2/2019,1/16/2019
March 2019 Delivery,2/1/2019,2/13/2019
April 2019 Delivery,3/1/2019,3/15/2019
May 2019 Delivery,4/1/2019,4/15/2019
June 2019 Delivery,5/1/2019,5/16/2019
July 2019 Delivery,6/3/2019,6/14/2019
August 2019 Delivery,7/2/2019,7/16/2019
September 2019 Delivery,8/1/2019,8/15/2019
October 2019 Delivery,9/3/2019,9/13/2019
November 2019 Delivery,10/1/2019,10/16/2019
December 2019 Delivery,11/1/2019,11/14/2019
January 2020 Delivery,12/2/2019,12/13/2019
February 2020 Delivery,1/2/2020,1/16/2020
March 2020 Delivery,2/3/2020,2/13/2020
April 2020 Delivery,3/2/2020,3/16/2020
May 2020 Delivery,4/1/2020,4/16/2020
June 2020 Delivery,5/1/2020,5/14/2020
July 2020 Delivery,6/1/2020,6/15/2020
August 2020 Delivery,7/2/2020,7/16/2020
September 2020 Delivery,8/4/2020,8/17/2020
October 2020 Delivery,9/1/2020,9/16/2020
November 2020 Delivery,10/1/2020,10/16/2020
December 2020 Delivery,11/2/2020,11/16/2020
