Contract Period,Month,Year,Market,Units,Volume
"(1, 2020)",1,2020,AHS,bbls per day,14256.88
"(1, 2020)",1,2020,AHS/WCS,bbls per day,6289.799999999999
"(1, 2020)",1,2020,ARV,bbls per day,14333.333333333334
"(1, 2020)",1,2020,AWB,bbls per day,111864.09300000004
"(1, 2020)",1,2020,AWB-Cush,bbls per day,2666.6666666666665
"(1, 2020)",1,2020,AWB/WCS,bbls per day,51884.979519999986
"(1, 2020)",1,2020,BK,bbls per day,10000.0
"(1, 2020)",1,2020,BLS,bbls per day,29000.0
"(1, 2020)",1,2020,BLS/WTI,bbls per day,29000.0
"(1, 2020)",1,2020,BRN,bbls per day,16605.072
"(1, 2020)",1,2020,BRN/WCS,bbls per day,15451.942000000003
"(1, 2020)",1,2020,BTD,bbls per day,27500.0
"(1, 2020)",1,2020,Bak-Alex,bbls per day,166.66666666666666
"(1, 2020)",1,2020,Bak-BL,bbls per day,36597.0
"(1, 2020)",1,2020,Bak-DAPL,bbls per day,125976.0
"(1, 2020)",1,2020,Bak-DAPL/BL,bbls per day,2000.0
"(1, 2020)",1,2020,Bak-Dore,bbls per day,4000.0
"(1, 2020)",1,2020,Bak-Epp,bbls per day,6740.0
"(1, 2020)",1,2020,Bak-FOB,bbls per day,22000.0
"(1, 2020)",1,2020,Bak-Stan,bbls per day,13735.333333333332
"(1, 2020)",1,2020,Bak-Tren,bbls per day,8500.0
"(1, 2020)",1,2020,Bak-USGC,bbls per day,83860.00000000001
"(1, 2020)",1,2020,Bak-USGC/WTI,bbls per day,59000.0
"(1, 2020)",1,2020,C5+ (CFT),bbls per day,61920.63496666674
"(1, 2020)",1,2020,C5+ (CPM),bbls per day,104.82999999999998
"(1, 2020)",1,2020,C5+ (CPR),bbls per day,54930.920000000064
"(1, 2020)",1,2020,C5+ (CRW),bbls per day,23167.429999999993
"(1, 2020)",1,2020,CAL,bbls per day,9487.114999999998
"(1, 2020)",1,2020,CC5,bbls per day,1355.5555555555557
"(1, 2020)",1,2020,CDB,bbls per day,46586.87131999999
"(1, 2020)",1,2020,CDB-Cush,bbls per day,3333.3333333333335
"(1, 2020)",1,2020,CDB-Pat,bbls per day,3333.3333333333335
"(1, 2020)",1,2020,CDB/WCS,bbls per day,40353.67952
"(1, 2020)",1,2020,CFT/CPR,bbls per day,1048.3
"(1, 2020)",1,2020,CHV-Edm,bbls per day,32077.98
"(1, 2020)",1,2020,CHV-Edm/WCS,bbls per day,32077.98
"(1, 2020)",1,2020,CL,bbls per day,2000.0
"(1, 2020)",1,2020,CLK-Cush,bbls per day,10233.333333333334
"(1, 2020)",1,2020,CLK-Edm,bbls per day,35622.2823
"(1, 2020)",1,2020,CLK-Edm/WCS,bbls per day,30358.767999999996
"(1, 2020)",1,2020,CLK-Gulf,bbls per day,4000.0
"(1, 2020)",1,2020,CLK-Hard,bbls per day,100007.81999999999
"(1, 2020)",1,2020,CLK-Hard/WCS,bbls per day,84476.2072
"(1, 2020)",1,2020,CLK-Pat,bbls per day,15238.733333333334
"(1, 2020)",1,2020,CLK-WR,bbls per day,1600.0
"(1, 2020)",1,2020,CNX,bbls per day,11531.3
"(1, 2020)",1,2020,CNX/WCS,bbls per day,8386.4
"(1, 2020)",1,2020,CS,bbls per day,5333.333333333333
"(1, 2020)",1,2020,CSH,bbls per day,9333.333333333334
"(1, 2020)",1,2020,CY,bbls per day,25861.58192090395
"(1, 2020)",1,2020,DJ Common,bbls per day,25749.333333333332
"(1, 2020)",1,2020,DSW-Cush,bbls per day,10219.433333333334
"(1, 2020)",1,2020,DSW-Ned,bbls per day,3333.3333333333335
"(1, 2020)",1,2020,DSW-WR,bbls per day,7496.0
"(1, 2020)",1,2020,EPND Space,bbls per day,8090.0
"(1, 2020)",1,2020,FOS,bbls per day,16709.902
"(1, 2020)",1,2020,FRB,bbls per day,17527.366339999997
"(1, 2020)",1,2020,FRB/WCS,bbls per day,9854.02
"(1, 2020)",1,2020,HTT,bbls per day,5000.0
"(1, 2020)",1,2020,Hard Lt,bbls per day,4822.179999999999
"(1, 2020)",1,2020,High Tan-Cush/CLK-Cush,bbls per day,6000.0
"(1, 2020)",1,2020,KDB-Pat,bbls per day,2000.0
"(1, 2020)",1,2020,LLB,bbls per day,4193.2
"(1, 2020)",1,2020,LLB/WCS,bbls per day,4193.2
"(1, 2020)",1,2020,LLK,bbls per day,21909.469999999998
"(1, 2020)",1,2020,LLK/WCS,bbls per day,19393.55
"(1, 2020)",1,2020,LSB,bbls per day,86337.98800000004
"(1, 2020)",1,2020,LSB-Cush,bbls per day,15929.233333333334
"(1, 2020)",1,2020,LSW,bbls per day,333.3333333333333
"(1, 2020)",1,2020,LT SW-Guern,bbls per day,34943.00000000001
"(1, 2020)",1,2020,Lt SW-WR,bbls per day,1696.0
"(1, 2020)",1,2020,ML Light Space,bbls per day,3333.3333333333335
"(1, 2020)",1,2020,Midale,bbls per day,14361.709999999995
"(1, 2020)",1,2020,NIO-NECL,bbls per day,250.0
"(1, 2020)",1,2020,PAS,bbls per day,2096.6
"(1, 2020)",1,2020,PAS/SSP,bbls per day,2096.6
"(1, 2020)",1,2020,PDH,bbls per day,31449.0
"(1, 2020)",1,2020,PDH/WCS,bbls per day,31449.0
"(1, 2020)",1,2020,PSO,bbls per day,16584.105999999992
"(1, 2020)",1,2020,PSO/CAL,bbls per day,1048.3
"(1, 2020)",1,2020,PSY,bbls per day,27255.799999999996
"(1, 2020)",1,2020,PSY/SSP,bbls per day,10483.0
"(1, 2020)",1,2020,Platte Light Space,bbls per day,1696.0
"(1, 2020)",1,2020,R,bbls per day,25000.000000000004
"(1, 2020)",1,2020,R/I,bbls per day,12711.86440677966
"(1, 2020)",1,2020,SC,bbls per day,3836.7779999999993
"(1, 2020)",1,2020,SC/WCS,bbls per day,2096.6
"(1, 2020)",1,2020,SHD,bbls per day,22014.299999999996
"(1, 2020)",1,2020,SHD/AWB,bbls per day,15724.5
"(1, 2020)",1,2020,SHD/WCS,bbls per day,2096.6
"(1, 2020)",1,2020,SHL,bbls per day,10704.4
"(1, 2020)",1,2020,SMA,bbls per day,10483.0
"(1, 2020)",1,2020,SMA/WCS,bbls per day,4193.2
"(1, 2020)",1,2020,SSP,bbls per day,83041.29416
"(1, 2020)",1,2020,SW,bbls per day,57656.500000000044
"(1, 2020)",1,2020,SW TMPL App,bbls per day,10482.999999999998
"(1, 2020)",1,2020,SW-Ker,bbls per day,7023.609999999999
"(1, 2020)",1,2020,SYN,bbls per day,60801.399999999994
"(1, 2020)",1,2020,Saddlehorn Space,bbls per day,10704.4
"(1, 2020)",1,2020,Seal,bbls per day,18554.91
"(1, 2020)",1,2020,Seal/WCS,bbls per day,15410.009999999998
"(1, 2020)",1,2020,UHC,bbls per day,59270.0
"(1, 2020)",1,2020,UHC-Cromer,bbls per day,52028.599999999984
"(1, 2020)",1,2020,WCB,bbls per day,2096.6
"(1, 2020)",1,2020,WCB/WCS,bbls per day,2096.6
"(1, 2020)",1,2020,WCL,bbls per day,8091.666666666667
"(1, 2020)",1,2020,WCL/WTI,bbls per day,2250.0
"(1, 2020)",1,2020,WCS,bbls per day,742865.2154000001
"(1, 2020)",1,2020,WCS-Cush,bbls per day,5000.0
"(1, 2020)",1,2020,WCS-Pat,bbls per day,13333.333333333334
"(1, 2020)",1,2020,WCW,bbls per day,40888.88888888888
"(1, 2020)",1,2020,WDB,bbls per day,25159.199999999997
"(1, 2020)",1,2020,WDB/WCS,bbls per day,25159.199999999997
"(1, 2020)",1,2020,WH,bbls per day,16772.8
"(1, 2020)",1,2020,WH/WCS,bbls per day,16772.8
"(1, 2020)",1,2020,WTI,bbls per day,117250.00000000001
"(1, 2020)",1,2020,WTI-Long,bbls per day,4000.0
"(1, 2020)",1,2020,WTI-MEH,bbls per day,13000.0
"(1, 2020)",1,2020,WTI-MEH/WTI,bbls per day,13000.0
"(1, 2020)",1,2020,WTI-Mid,bbls per day,6500.0
"(1, 2020)",1,2020,WTI-Mid/WTI,bbls per day,6000.0
"(1, 2020)",1,2020,WTI-Ned,bbls per day,11333.333333333334
"(1, 2020)",1,2020,WTI-Ned/WTI,bbls per day,8000.0
"(1, 2020)",1,2020,White Cliffs Space,bbls per day,5975.000000000001
"(2, 2020)",2,2020,AHS,bbls per day,50767.67142857144
"(2, 2020)",2,2020,AHS/WCS,bbls per day,42680.78571428572
"(2, 2020)",2,2020,ARV,bbls per day,7142.857142857143
"(2, 2020)",2,2020,AWB,bbls per day,78645.63747857144
"(2, 2020)",2,2020,AWB-Cush,bbls per day,7857.142857142857
"(2, 2020)",2,2020,AWB/WCS,bbls per day,44477.87142857142
"(2, 2020)",2,2020,BLS,bbls per day,13000.0
"(2, 2020)",2,2020,BLS/WTI,bbls per day,13000.0
"(2, 2020)",2,2020,BRN,bbls per day,25136.736428571432
"(2, 2020)",2,2020,BRN/WCS,bbls per day,25136.736428571432
"(2, 2020)",2,2020,Bak-BL,bbls per day,21175.0
"(2, 2020)",2,2020,Bak-DAPL,bbls per day,128965.0
"(2, 2020)",2,2020,Bak-Dore,bbls per day,8000.0
"(2, 2020)",2,2020,Bak-Epp,bbls per day,3000.0
"(2, 2020)",2,2020,Bak-FOB,bbls per day,10000.0
"(2, 2020)",2,2020,Bak-JoCo,bbls per day,1000.0
"(2, 2020)",2,2020,Bak-Pat,bbls per day,7142.857142857143
"(2, 2020)",2,2020,Bak-Stan,bbls per day,8750.0
"(2, 2020)",2,2020,Bak-Tren,bbls per day,13500.0
"(2, 2020)",2,2020,Bak-USGC,bbls per day,82596.0
"(2, 2020)",2,2020,Bak-USGC/WTI,bbls per day,62703.14285714286
"(2, 2020)",2,2020,C5+ (CFT),bbls per day,79531.991676322
"(2, 2020)",2,2020,C5+ (CPR),bbls per day,50767.67142857144
"(2, 2020)",2,2020,C5+ (CRW),bbls per day,25833.10714285715
"(2, 2020)",2,2020,CAL,bbls per day,9771.653571428571
"(2, 2020)",2,2020,CDB,bbls per day,76881.57321428573
"(2, 2020)",2,2020,CDB-Cush,bbls per day,9642.857142857143
"(2, 2020)",2,2020,CDB-Gulf,bbls per day,3571.4285714285716
"(2, 2020)",2,2020,CDB/WCS,bbls per day,63605.6025
"(2, 2020)",2,2020,CHV-Edm,bbls per day,6739.071428571428
"(2, 2020)",2,2020,CHV-Edm/WCS,bbls per day,6739.071428571428
"(2, 2020)",2,2020,CLK-Cush,bbls per day,8214.285714285714
"(2, 2020)",2,2020,CLK-Edm,bbls per day,36112.88669999999
"(2, 2020)",2,2020,CLK-Edm/WCS,bbls per day,27065.234035714282
"(2, 2020)",2,2020,CLK-Gulf,bbls per day,2142.8571428571427
"(2, 2020)",2,2020,CLK-Hard,bbls per day,48977.998692857145
"(2, 2020)",2,2020,CLK-Hard/WCS,bbls per day,48977.998692857145
"(2, 2020)",2,2020,CLK-Pat,bbls per day,1785.7142857142858
"(2, 2020)",2,2020,CNX,bbls per day,19767.942857142854
"(2, 2020)",2,2020,CNX/WCS,bbls per day,19767.942857142854
"(2, 2020)",2,2020,CS,bbls per day,2142.8571428571427
"(2, 2020)",2,2020,CY,bbls per day,3571.4285714285716
"(2, 2020)",2,2020,DJ Common,bbls per day,20148.428571428572
"(2, 2020)",2,2020,DSW-Cush,bbls per day,33714.28571428571
"(2, 2020)",2,2020,EPND Space,bbls per day,5000.0
"(2, 2020)",2,2020,FOS,bbls per day,38098.21714285714
"(2, 2020)",2,2020,FOS/WCS,bbls per day,6289.799999999999
"(2, 2020)",2,2020,FRB,bbls per day,5862.992142857142
"(2, 2020)",2,2020,FRB/WCS,bbls per day,3616.6349999999998
"(2, 2020)",2,2020,HTT,bbls per day,1785.7142857142858
"(2, 2020)",2,2020,High Tan-Cush/CLK-Cush,bbls per day,8214.285714285714
"(2, 2020)",2,2020,I,bbls per day,26785.71428571429
"(2, 2020)",2,2020,LLB,bbls per day,2470.992857142857
"(2, 2020)",2,2020,LLB/WCS,bbls per day,2246.3571428571427
"(2, 2020)",2,2020,LLK,bbls per day,27405.55714285714
"(2, 2020)",2,2020,LLK/WCS,bbls per day,17521.585714285713
"(2, 2020)",2,2020,LSB,bbls per day,56083.67560714281
"(2, 2020)",2,2020,LSB-Cush,bbls per day,21214.285714285717
"(2, 2020)",2,2020,LT SW-Guern,bbls per day,56414.0
"(2, 2020)",2,2020,MSW-Pat,bbls per day,7142.857142857143
"(2, 2020)",2,2020,Midale,bbls per day,21789.664285714283
"(2, 2020)",2,2020,NIO,bbls per day,2000.0
"(2, 2020)",2,2020,NIO/WTI,bbls per day,2000.0
"(2, 2020)",2,2020,PDH,bbls per day,31448.999999999996
"(2, 2020)",2,2020,PDH/WCS,bbls per day,31448.999999999996
"(2, 2020)",2,2020,PSO,bbls per day,10479.25607142857
"(2, 2020)",2,2020,PSO/CAL,bbls per day,3369.535714285714
"(2, 2020)",2,2020,PSY,bbls per day,8985.42857142857
"(2, 2020)",2,2020,PSY/SSP,bbls per day,4492.714285714285
"(2, 2020)",2,2020,SC,bbls per day,561.5892857142857
"(2, 2020)",2,2020,SHC-Laramie,bbls per day,923.7142857142857
"(2, 2020)",2,2020,SHD,bbls per day,32198.160107142852
"(2, 2020)",2,2020,SHD-Cush,bbls per day,17857.142857142855
"(2, 2020)",2,2020,SHD-Hard,bbls per day,2246.3571428571427
"(2, 2020)",2,2020,SHD/AWB,bbls per day,13478.142857142857
"(2, 2020)",2,2020,SHD/WCS,bbls per day,6739.0714285714275
"(2, 2020)",2,2020,SHL,bbls per day,8038.785714285714
"(2, 2020)",2,2020,SMA,bbls per day,22463.571428571428
"(2, 2020)",2,2020,SMA/WCS,bbls per day,22463.571428571428
"(2, 2020)",2,2020,SSP,bbls per day,90528.19285714284
"(2, 2020)",2,2020,SW,bbls per day,87596.6967857143
"(2, 2020)",2,2020,SW-Ker,bbls per day,21857.055
"(2, 2020)",2,2020,SW/SW,bbls per day,8423.839285714284
"(2, 2020)",2,2020,SYN,bbls per day,73568.19642857143
"(2, 2020)",2,2020,Saddlehorn Space,bbls per day,8038.785714285714
"(2, 2020)",2,2020,Seal,bbls per day,2021.7214285714285
"(2, 2020)",2,2020,UHC,bbls per day,79459.0
